iter	Passed	Remaining
0	1	146
1	2	127
2	3	119
3	4	109
4	5	105
5	6	103
6	7	102
7	8	101
8	9	98
9	10	96
10	11	94
11	12	93
12	13	90
13	14	89
14	15	89
15	16	87
16	17	86
17	18	84
18	19	84
19	20	83
20	21	81
21	22	79
22	23	78
23	24	76
24	25	75
25	26	74
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	31	66
32	32	65
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	73	20
78	74	19
79	75	18
80	76	18
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
